State,Year,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,Pop_Youth,Pop_Working,Pop_Senior,Age_Median,Population,Lawful_Permanent_Residents,Nonimmigrants,Naturalizations,Refugees,Asylees,Lawful_Permanent_Residents_Per_Million,Nonimmigrants_Per_Million,Naturalizations_Per_Million,Refugees_Per_Million,Asylees_Per_Million
Connecticut,2005,3506956.0,2956769.0,363122.0,13567.0,116343.0,2802.0,54353.0,3110633.0,396323.0,,,,,,,,,,,,,,,
Connecticut,2006,3517460.0,2952473.0,368609.0,14156.0,121672.0,3029.0,57521.0,3104593.0,412867.0,,,,,,,,,,,,,,,
Connecticut,2007,3527270.0,2947983.0,373995.0,14768.0,126625.0,3168.0,60731.0,3097942.0,429328.0,,,,,,,,,,,,,,,
Connecticut,2008,3545579.0,2950893.0,379795.0,15388.0,131936.0,3292.0,64275.0,3098803.0,446776.0,,,,,,,,,,,,,,,
Connecticut,2009,3561807.0,2950870.0,386843.0,16090.0,136812.0,3394.0,67798.0,3096321.0,465486.0,,,,,,,,,,,,,,,
Connecticut,2010,3579173.0,2952630.0,393437.0,16854.0,141690.0,3508.0,71054.0,3096772.0,482401.0,,,,,,,,,,,,,,,
Connecticut,2011,3588632.0,2949902.0,398081.0,17323.0,146608.0,3576.0,73142.0,3091815.0,496817.0,,,,,,,,,,,,,,,
Connecticut,2012,3595211.0,2943568.0,402846.0,17945.0,152090.0,3614.0,75148.0,3084216.0,510995.0,,,,,,,,,,,,,,,
Connecticut,2013,3595792.0,2933936.0,407958.0,18497.0,154544.0,3619.0,77238.0,3072002.0,523790.0,,,,,3594841.0,10990.0,218110.0,9250.0,550.0,110.0,3055.768,60672.503,2573.966,152.163,30.599
Connecticut,2014,3595697.0,2921451.0,411861.0,18950.0,160402.0,3698.0,79335.0,3059696.0,536001.0,,,,,3594524.0,11250.0,228400.0,8340.0,540.0,80.0,3130.317,63541.376,2319.083,151.063,22.534
Connecticut,2015,3588561.0,2902891.0,416208.0,19375.0,165054.0,3756.0,81277.0,3041630.0,546931.0,,,,,3587122.0,11100.0,246800.0,9840.0,520.0,190.0,3094.96,68800.559,2742.589,144.684,53.246
Connecticut,2016,3579830.0,2884727.0,420026.0,19763.0,168290.0,3754.0,83270.0,3021143.0,558687.0,,,,,3578141.0,12670.0,265220.0,9320.0,820.0,190.0,3540.665,74121.73,2603.866,228.89,53.1
Connecticut,2017,3575324.0,2868631.0,425385.0,20639.0,171335.0,3863.0,85471.0,3002274.0,573050.0,,,,,3573297.0,11940.0,273680.0,7440.0,430.0,230.0,3340.892,76590.611,2082.391,120.897,65.486
Connecticut,2018,3574561.0,2855565.0,431241.0,21650.0,174560.0,3894.0,87651.0,2984233.0,590328.0,,,,,3571520.0,11630.0,276620.0,10150.0,160.0,300.0,3256.037,77451.897,2842.487,43.679,82.878
